school_name,official_school_website,twitter,facebook
Brockport,https://gobrockport.com,https://twitter.com/@BP_GoldenEagles,https://facebook.com/BrockportGoldenEagles
Brooklyn,https://brooklyncollegeathletics.com,https://twitter.com/@bklyncollege411,https://facebook.com/pages/Brooklyn-College/111090580325
Brown,https://brownbears.com,https://twitter.com/@@BrownU_Bears ,https://facebook.com/BrownUBears
Bryant,https://bryantbulldogs.com,https://twitter.com/@BryantAthletics,https://facebook.com/BryantAthletics
Bryn Athyn,https://brynathynathletics.com,https://twitter.com/@BrynAthynLions,https://facebook.com/brynathynathletics
Bryn Mawr,https://athletics.brynmawr.edu,https://twitter.com/@BMCathletics,https://facebook.com/BrynMawrCollegeAthletics
Bucknell,https://bucknellbison.com,https://twitter.com/@BisonSports,https://facebook.com/BuckyBison
Buena Vista,https://bvuathletics.com,https://twitter.com/@BVUAthletics,https://facebook.com/BVUAthletics
Buffalo,https://buffalobulls.com,https://twitter.com/@UBAthletics,https://facebook.com/ubbulls
Buffalo St.,https://buffalostateathletics.com,https://twitter.com/@bscathletics,https://facebook.com/buffalostateathletics
Butler,https://butlersports.com,https://twitter.com/@ButlerAthletics,https://facebook.com/ButlerBulldogs
BYU,https://BYUcougars.com,https://twitter.com/@BYUcougars,https://facebook.com/BYUcougars
Cabrini,https://cabriniathletics.com,https://twitter.com/@CabriniCavs,https://facebook.com/pages/Cabrini-College-Cavaliers/124331616560
Cairn,https://cairnhighlanders.com,https://twitter.com/@CairnAthletics,https://facebook.com/CairnU
Cal Lutheran,https://clusports.com,https://twitter.com/@CLUSports,https://facebook.com/clusports
Cal Poly,https://gopoly.com,https://twitter.com/@CPMustangs,https://facebook.com/CalPolyMustangs
Cal Poly Pomona,https://broncoathletics.com,https://twitter.com/@cppbroncos,https://facebook.com/cppbroncos
Cal St. Dom. Hills,https://gotoros.com,https://twitter.com/@TorosAthletics,https://facebook.com//pages/TorosAthletics/233587350091402
Cal St. East Bay,https://eastbaypioneers.com,https://twitter.com/@CSUEBathletics,https://facebook.com/CSUEBathletics
Cal St. Fullerton,https://fullertontitans.com,https://twitter.com/@FullertonTitans,https://facebook.com/fullertontitans
Cal State LA,https://csulaathletics.com,https://twitter.com/@CSULAAthletics,https://facebook.com/GOCSULA
Cal St. Monterey Bay,https://otterathletics.com,https://twitter.com/@OtterAthletics,https://facebook.com/OtterAthletics
Cal St. Northridge,https://gomatadors.com,https://twitter.com/@GoMatadors,https://facebook.com/mattythematador
Cal St. San B'dino,https://csusbathletics.com,https://twitter.com/@csusbathletics,https://facebook.com/CSUSBathletics
Cal State-San Marcos,https://csusmcougars.com,https://twitter.com/@csusmcougars,https://facebook.com/CSUSMAthletics
Cal St. Stanislaus,https://warriorathletics.com,https://twitter.com/@CSUSWarriors,https://facebook.com/WarriorAthletics
Caldwell,https://caldwellathletics.com,https://twitter.com/@CaldwellCougars,https://facebook.com//pages/Caldwell-College-Athletics/119084976770
California,https://calbears.com,https://twitter.com/@CalAthletics,https://facebook.com/CalAthletics
Cal Baptist,https://cbulancers.com,https://twitter.com/@cbulancers,https://facebook.com/cbuathletics
California (PA),https://calvulcans.com,https://twitter.com/@calvulcans,https://facebook.com/calvulcans
Caltech,https://gocaltech.com,https://twitter.com/@CaltechBeavers,https://facebook.com/CaltechAthletics
Calvin,https://calvinknights.com,https://twitter.com/@CalvinKnights,https://facebook.com/CalvinGameDay
Cameron,https://cameronaggies.com,https://twitter.com/@cameronaggies,https://facebook.com/cameronaggies
Campbell,https://gocamels.com,https://twitter.com/@GoCamels,https://facebook.com/GoCamelsATH
Canisius,https://gogriffs.com,https://twitter.com/@GoGriffs,https://facebook.com/GoGriffs
Capital,https://athletics.capital.edu,https://twitter.com/@cap_athletics,https://facebook.com/CapitalUniversityAthletics
Carleton,https://apps.carleton.edu/athletics,https://twitter.com/@CarletonKnights,https://facebook.com/carletonknights
Carnegie Mellon,https://athletics.cmu.edu,https://twitter.com/@tartanathletics,https://facebook.com/pages/Carnegie-Mellon-Athletics/30447322530
Carroll (WI),https://gopios.com,https://twitter.com/@pio_athletics,https://facebook.com/CarrollUAthletics
Carson-Newman,https://cneagles.com,https://twitter.com/@CNathletics,https://facebook.com/CNEagles
Carthage,https://athletics.carthage.edu,https://twitter.com/@carthagesports,https://facebook.com/carthageathletics
Case Western Reserve,https://athletics.case.edu,https://twitter.com/@caseathletics,https://facebook.com/caseathletics
Castleton,https://CastletonSports.com,https://twitter.com/@CastletonSports,https://facebook.com/CastletonSports
Catawba,https://gocatawbaindians.com,https://twitter.com/@CatawbaIndians,https://facebook.com/catawbaindians
Catholic,https://cuacardinals.com,https://twitter.com/@cuacardinals,https://facebook.com/pages/CUA-Cardinals/225377367502549
Cazenovia,https://cazenoviawildcats.com,https://twitter.com/@Wildcats1824,https://facebook.com/CazenoviaCollegeAthletics
CCNY,https://ccnyathletics.com,https://twitter.com/@CCNYSports,https://facebook.com/CCNYAthletics
Cedar Crest,https://cedarcrestathletics.com,https://twitter.com/@CCC_Falcons,https://facebook.com/pages/Cedar-Crest-College-Falcons/59473449922
Cedarville,https://yellowjackets.cedarville.edu,https://twitter.com/@CUJackets,https://facebook.com/cujackets
Centenary (LA),https://gocentenary.com,https://twitter.com/@GoCentenary,https://facebook.com/GoCentenary
Centenary (NJ),https://centenarycyclones.com,https://twitter.com/@CentCyclones_NJ,https://facebook.com/Centenary.Univ.Athletics
Central Ark.,https://ucasports.com,https://twitter.com/@ucasports,https://facebook.com/ucasports
Central Conn. St.,https://ccsubluedevils.com,https://twitter.com/@CCSUBlueDevils,https://facebook.com/CCSUBlueDevils
Central (IA),https://central.edu/athletics,https://twitter.com/@CentralDutch,https://facebook.com/CentralCollegeDutch
Central Mich.,https://cmuchippewas.com,https://twitter.com/@CMUAthletics,https://facebook.com/CMUAthletics
Central Mo.,https://ucmathletics.com/,https://twitter.com/@UCMMULES,https://facebook.com/UCMAthletics
Central Okla.,https://bronchosports.com,https://twitter.com/@ucoathletics,https://facebook.com/pages/University-of-Central-Oklahoma-Bronchos/77613715571
Central St. (OH),https://maraudersports.com,https://twitter.com/@go_marauders,https://facebook.com/CSUmarauders
